City_ID,City,Country,Date,Lat,Lon,Wx_Desc,Max_Temp_(F),Humidity_%,Cloud_%,Wind_Spd
167,Cabedelo,BR,2022-03-20 23:34:08,-6.9811,-34.8339,light rain,81.27,79,63,10.74
168,Hambantota,LK,2022-03-20 23:34:08,6.1241,81.1185,clear sky,77.76,84,0,9.28
169,Sisimiut,GL,2022-03-20 23:30:48,66.9395,-53.6735,few clouds,-10.25,87,14,6.93
170,Hastings,GB,2022-03-20 23:31:41,50.8552,0.5729,clear sky,42.53,82,0,5.86
171,Hami,CN,2022-03-20 23:34:08,42.8,93.45,overcast clouds,38.64,33,99,5.26
172,Saint-Francois,FR,2022-03-20 23:34:09,46.4154,3.9054,clear sky,49.44,62,0,8.05
173,Xinmin,CN,2022-03-20 23:34:10,41.9908,122.8253,clear sky,34.11,67,9,7.58
174,Cerrito,CO,2022-03-20 23:34:10,6.8432,-72.694,broken clouds,55.38,92,81,4.79
175,Narsaq,GL,2022-03-20 23:28:28,60.9167,-46.05,clear sky,14.22,83,1,6.49
176,Upernavik,GL,2022-03-20 23:34:11,72.7868,-56.1549,broken clouds,-15.99,99,51,5.75
177,Dubbo,AU,2022-03-20 23:34:11,-32.25,148.6167,clear sky,71.73,60,5,13.8
178,Sao Miguel Do Araguaia,BR,2022-03-20 23:34:12,-13.275,-50.1628,few clouds,73.22,86,18,3.49
179,Yulara,AU,2022-03-20 23:34:13,-25.2406,130.9889,clear sky,80.44,29,0,6.91
180,Sakakah,SA,2022-03-20 23:35:13,29.9697,40.2064,clear sky,51.37,42,7,12.33
181,Lompoc,US,2022-03-20 23:32:37,34.6391,-120.4579,clear sky,73.56,64,0,21.85
182,Tiarei,PF,2022-03-20 23:35:14,-17.5333,-149.3333,few clouds,87.82,68,21,19.19
183,Sorland,NO,2022-03-20 23:35:14,67.667,12.6934,scattered clouds,43.56,80,44,32.79
184,Codrington,AU,2022-03-20 23:35:15,-38.2667,141.9667,broken clouds,67.98,66,65,5.86
185,Kruisfontein,ZA,2022-03-20 23:35:15,-34.0033,24.7314,scattered clouds,66.81,87,49,3.47
186,Ullapool,GB,2022-03-20 23:35:16,57.8987,-5.1604,clear sky,39.34,81,0,5.37
187,Challapata,BO,2022-03-20 23:35:16,-18.9,-66.7667,overcast clouds,53.76,62,91,5.73
188,Masumbwe,TZ,2022-03-20 23:35:17,-3.6333,32.1833,light rain,63.86,95,100,2.59
189,Omboue,GA,2022-03-20 23:35:17,-1.5746,9.2618,overcast clouds,78.39,85,92,5.23
190,Levelland,US,2022-03-20 23:34:06,33.5873,-102.378,clear sky,73.18,24,5,24.58
191,Constantine,DZ,2022-03-20 23:35:18,36.365,6.6147,broken clouds,49.41,76,75,11.5
192,Norton Shores,US,2022-03-20 23:31:58,43.1689,-86.2639,few clouds,48.72,55,20,8.05
193,Xichang,CN,2022-03-20 23:35:19,27.8964,102.2634,broken clouds,57.25,60,66,1.43
194,Talcahuano,CL,2022-03-20 23:35:19,-36.7167,-73.1167,overcast clouds,58.68,82,100,8.05
195,Arrecife,ES,2022-03-20 23:35:20,28.963,-13.5477,scattered clouds,60.78,63,40,5.75
196,Nome,US,2022-03-20 23:35:20,64.5011,-165.4064,clear sky,15.87,57,0,0.0
197,Longyearbyen,SJ,2022-03-20 23:35:21,78.2186,15.6401,light snow,21.04,86,100,28.77
198,Acatic,MX,2022-03-20 23:35:21,20.7833,-102.8833,broken clouds,84.76,10,56,8.7
199,Port Lincoln,AU,2022-03-20 23:35:21,-34.7333,135.8667,overcast clouds,67.68,76,98,5.19
200,Hasaki,JP,2022-03-20 23:35:22,35.7333,140.8333,overcast clouds,46.29,84,100,14.07
201,Mehamn,NO,2022-03-20 23:35:22,71.0357,27.8492,overcast clouds,38.05,72,100,19.62
202,Bengkulu,ID,2022-03-20 23:35:23,-3.8004,102.2655,overcast clouds,75.43,84,99,3.83
203,Santa Maria,BR,2022-03-20 23:32:33,-29.6842,-53.8069,few clouds,63.7,68,20,10.36
204,Marzuq,YE,2022-03-20 23:35:23,14.4,46.4667,few clouds,67.89,47,13,3.87
205,San Patricio,US,2022-03-20 23:35:24,28.017,-97.5169,broken clouds,72.54,69,52,16.35
206,Geraldton,AU,2022-03-20 23:31:21,-28.7667,114.6,overcast clouds,70.21,78,97,11.5
207,Bristol,US,2022-03-20 23:35:25,41.8334,-71.1662,broken clouds,55.78,66,75,10.0
208,Kasempa,ZM,2022-03-20 23:35:25,-13.4584,25.8338,overcast clouds,64.78,91,100,4.94
209,Subang,ID,2022-03-20 23:35:26,-7.1277,108.5283,overcast clouds,74.05,91,98,1.28
210,Deputatskiy,RU,2022-03-20 23:35:26,69.3,139.9,clear sky,-7.89,89,9,1.36
211,High Prairie,CA,2022-03-20 23:35:27,55.4334,-116.4858,broken clouds,37.54,63,58,5.37
212,Moanda,GA,2022-03-20 23:35:27,-1.5575,13.2178,overcast clouds,70.52,98,100,1.88
213,Visby,SE,2022-03-20 23:35:28,57.6409,18.296,clear sky,32.22,86,0,6.91
214,Ilulissat,GL,2022-03-20 23:35:28,69.2167,-51.1,few clouds,-5.78,54,12,1.14
215,Puerto Quijarro,BO,2022-03-20 23:35:29,-17.7833,-57.7667,overcast clouds,73.54,96,97,4.56
216,Sioux Lookout,CA,2022-03-20 23:35:29,50.1001,-91.917,scattered clouds,44.67,45,40,5.75
217,Dingli,MT,2022-03-20 23:35:29,35.8614,14.3822,scattered clouds,48.36,57,40,10.36
218,Anadyr,RU,2022-03-20 23:35:30,64.75,177.4833,fog,7.3,84,20,4.47
219,Port Blair,IN,2022-03-20 23:33:18,11.6667,92.75,heavy intensity rain,77.04,94,100,6.91
220,Hohhot,CN,2022-03-20 23:30:36,40.8106,111.6522,clear sky,25.09,58,0,4.47
221,Jijiang,CN,2022-03-20 23:35:31,29.2906,106.2542,overcast clouds,62.49,84,100,5.03
222,Vao,NC,2022-03-20 23:35:31,-22.6667,167.4833,overcast clouds,78.26,77,99,16.58
223,Fairbanks,US,2022-03-20 23:30:41,64.8378,-147.7164,clear sky,19.09,53,0,8.05
224,Sangar,RU,2022-03-20 23:35:32,63.9242,127.4739,overcast clouds,7.54,88,99,11.81
225,Isiro,CD,2022-03-20 23:36:33,2.7739,27.616,overcast clouds,71.02,80,100,3.2
226,Kiyasovo,RU,2022-03-20 23:36:33,56.3491,53.1244,overcast clouds,30.94,84,88,15.57
227,Pasighat,IN,2022-03-20 23:36:33,28.0667,95.3333,broken clouds,72.45,52,74,3.18
228,Sol-Iletsk,RU,2022-03-20 23:36:34,51.1631,54.9918,overcast clouds,24.08,95,100,15.84
229,Pisco,PE,2022-03-20 23:36:34,-13.7,-76.2167,few clouds,69.85,83,20,4.61
230,Chuy,UY,2022-03-20 23:36:35,-33.6971,-53.4616,broken clouds,64.45,49,54,11.34
231,Visnes,NO,2022-03-20 23:36:35,59.3556,5.2242,clear sky,43.21,65,0,10.36
232,Siguiri,GN,2022-03-20 23:36:36,11.6667,-9.5,overcast clouds,88.07,35,93,2.1
233,Pangai,TO,2022-03-20 23:36:36,-19.8,-174.35,broken clouds,84.31,65,75,6.91
234,Esmeraldas,BR,2022-03-20 23:36:36,-19.7625,-44.3139,overcast clouds,81.46,62,100,5.19
235,Joensuu,FI,2022-03-20 23:36:37,62.6012,29.7632,clear sky,37.89,65,0,3.44
